 index	Top Genre
1	adult standards
2	album rock
3	alternative hip hop
4	alternative metal
5	classic rock
6	alternative pop rock
7	pop
8	modern rock
9	detroit hip hop
10	alternative rock
11	dutch indie
12	garage rock
13	dutch cabaret
14	permanent wave
15	classic uk pop
16	dance pop
17	modern folk rock
18	dutch pop
19	dutch americana
20	alternative dance
21	german pop
22	afropop
23	british soul
24	irish rock
25	disco
26	big room
27	art rock
28	danish pop rock
29	neo mellow
30	britpop
31	boy band
32	carnaval limburg
33	arkansas country
34	latin alternative
35	british folk
36	celtic
37	chanson
38	celtic rock
39	hip pop
40	east coast hip hop
41	dutch rock
42	blues rock
43	electro
44	australian pop
45	belgian rock
46	downtempo
47	reggae fusion
48	british invasion
49	finnish metal
50	canadian pop
51	bow pop
52	dutch hip hop
53	dutch metal
54	soft rock
55	acoustic pop
56	acid jazz
57	dutch prog
58	candy pop
59	operatic pop
60	trance
61	scottish singer-songwriter
62	mellow gold
63	alternative pop
64	dance rock
65	atl hip hop
66	eurodance
67	blues
68	canadian folk
69	big beat
70	art pop
71	uk pop
72	glam metal
73	brill building pop
74	g funk
75	happy hardcore
76	belgian pop
77	classic schlager
78	contemporary country
79	barbadian pop
80	gabba
81	chamber pop
82	british singer-songwriter
83	indie pop
84	australian rock
85	nederpop
86	australian indie folk
87	folk-pop
88	electropop
89	edm
90	metropopolis
91	irish pop
92	electronica
93	alaska indie
94	irish singer-songwriter
95	stomp and holler
96	australian dance
97	australian psych
98	laboratorio
99	contemporary vocal jazz
100	rock-and-roll
101	glam rock
102	classic soundtrack
103	icelandic indie
104	danish pop
105	compositional ambient
106	neo soul
107	streektaal
108	italian pop
109	indie anthem-folk
110	la pop
111	baroque pop
112	ccm
113	electro house
114	austropop
115	australian americana
116	latin
117	chicago soul
118	classic soul
119	bubblegum pop
120	classic country pop
121	europop
122	hard rock
123	reggae
124	j-core
125	funk
126	folk
127	punk
128	basshall
129	australian alternative rock
130	yacht rock
131	alternative country
132	celtic punk
133	new wave pop
134	classic canadian rock
135	christelijk
136	levenslied
137	cyberpunk
138	gangster rap
139	diva house
140	classical rock
141	canadian rock
142	german pop rock
143	british alternative rock
144	latin jazz
145	german alternative rock
146	classic italian pop
147	pop punk
148	motown
149	bebop
